id,geo_id,vaccine_id,FirstDose,SecondDose,NumberDosesReceived,week_start
504,7,4,969,1107,0,2021-02-12
505,9,1,7742,0,16800,2021-02-12
506,9,3,4219,3788,12870,2021-02-12
507,9,4,242,233,0,2021-02-12
508,10,1,41400,0,88800,2021-02-12
509,10,3,40760,74965,120510,2021-02-12
510,10,4,15761,0,0,2021-02-12
511,11,1,94911,0,396800,2021-02-12
512,11,3,282917,98058,483210,2021-02-12
513,11,4,23239,15759,NULL,2021-02-12
514,13,1,19926,2,45600,2021-02-12
515,13,3,52773,6148,60840,2021-02-12
516,13,4,4190,1,NULL,2021-02-12
517,13,6,0,0,NULL,2021-02-12
518,14,1,63368,0,547200,2021-02-12
519,14,3,195125,496559,684450,2021-02-12
520,14,4,24345,22568,0,2021-02-12
521,14,6,0,0,NULL,2021-02-12
522,15,1,13808,5,33600,2021-02-12
523,15,3,14054,3335,22230,2021-02-12
524,15,4,3575,846,NULL,2021-02-12
525,15,6,696,115,NULL,2021-02-12
526,16,1,23168,317,83500,2021-02-12
527,16,2,0,0,550000,2021-02-12
528,16,3,53058,85306,102960,2021-02-12
529,16,4,3498,375,0,2021-02-12
530,16,5,16164,35,0,2021-02-12
531,17,1,19931,3,40800,2021-02-12
532,17,3,19305,41128,53820,2021-02-12
533,17,4,1201,0,0,2021-02-12
534,18,1,1508,0,2400,2021-02-12
535,18,3,266,4437,3510,2021-02-12
536,18,4,1338,366,0,2021-02-12
537,19,1,93080,0,506400,2021-02-12
538,19,3,349831,26737,621270,2021-02-12
539,19,4,30777,12668,0,2021-02-12
540,20,1,7260,0,7260,2021-02-12
541,20,3,13148,11456,24604,2021-02-12
542,20,4,2453,1178,3631,2021-02-12
543,21,1,3391,0,4800,2021-02-12
544,21,3,2598,1715,5850,2021-02-12
545,21,4,11,366,0,2021-02-12
546,22,1,7410,0,16800,2021-02-12
547,22,3,18,295,0,2021-02-12
548,22,4,721,231,0,2021-02-12
549,23,1,1619,1,NULL,2021-02-12
550,23,3,5953,4463,NULL,2021-02-12
551,23,4,353,2,NULL,2021-02-12
552,24,1,56839,0,161040,2021-02-12
553,24,3,98840,63465,193050,2021-02-12
554,24,4,11802,0,0,2021-02-12
555,24,6,69,37,0,2021-02-12
556,25,6,55915,27777,100470,2021-02-12
557,26,1,106531,21,249600,2021-02-12
558,26,3,152074,284363,387270,2021-02-12
559,26,4,45526,48,0,2021-02-12
560,27,1,40996,5,86400,2021-02-12
561,27,3,49570,47606,104130,2021-02-12
562,27,4,9528,1638,0,2021-02-12
563,28,1,63368,0,163200,2021-02-12
564,28,3,35476,146980,135720,2021-02-12
565,28,4,19310,0,0,2021-02-12
566,29,1,27115,12,54600,2021-02-12
567,29,3,32715,77894,115830,2021-02-12
568,29,4,11292,4185,0,2021-02-12
569,30,1,4005,0,16800,2021-02-12
570,30,3,18730,1538,21060,2021-02-12
571,30,4,240,490,0,2021-02-12
572,31,1,16096,0,45600,2021-02-12
573,31,3,13290,32927,56160,2021-02-12
574,31,4,11487,0,0,2021-02-12
575,0,1,55518,4,0,2021-02-19
576,0,3,42652,16344,84240,2021-02-19
577,0,4,4312,3517,37200,2021-02-19
578,1,1,34049,0,88800,2021-02-19
579,1,3,54084,32658,120510,2021-02-19
580,1,4,473,1908,48000,2021-02-19
581,2,1,68678,5,52800,2021-02-19
582,2,3,10204,10176,25740,2021-02-19
583,2,4,3804,225,12000,2021-02-19
584,4,1,11992,0,14400,2021-02-19
585,4,3,4251,3454,11700,2021-02-19
586,4,4,4,205,3600,2021-02-19
587,5,1,15783,0,33900,2021-02-19
588,5,3,55372,29251,93600,2021-02-19
589,5,4,4023,1334,35900,2021-02-19
590,6,1,283391,0,0,2021-02-19
591,6,3,463200,336833,926640,2021-02-19
592,6,4,33025,9636,343200,2021-02-19
593,7,1,44474,0,0,2021-02-19
594,7,3,64356,8993,67860,2021-02-19
595,7,4,993,618,10800,2021-02-19
596,9,1,11940,0,0,2021-02-19
597,9,3,7329,7089,14040,2021-02-19
598,9,4,704,573,6000,2021-02-19
599,10,1,44299,0,0,2021-02-19
600,10,3,38496,84137,112320,2021-02-19
601,10,4,21525,0,44400,2021-02-19
602,11,1,242316,0,NULL,2021-02-19
603,11,3,443992,56247,496080,2021-02-19
604,11,4,10139,3511,195600,2021-02-19
605,13,1,31465,3,43200,2021-02-19
606,13,3,53581,8377,59670,2021-02-19
607,13,4,8285,2,22600,2021-02-19
608,13,6,0,0,NULL,2021-02-19
609,14,1,171956,0,0,2021-02-19
610,14,3,207568,393603,702000,2021-02-19
611,14,4,23119,18318,277200,2021-02-19
612,14,6,0,0,NULL,2021-02-19
613,15,1,37102,56,NULL,2021-02-19
614,15,3,16232,1740,23400,2021-02-19
615,15,4,1025,57,16800,2021-02-19
616,15,6,705,10,NULL,2021-02-19
617,16,1,41117,422,74400,2021-02-19
618,16,2,159956,1267,0,2021-02-19
619,16,3,54020,33996,104130,2021-02-19
620,16,4,1184,167,40800,2021-02-19
621,16,5,918,1,0,2021-02-19
622,17,1,33364,2,0,2021-02-19
623,17,3,39661,8380,0,2021-02-19
624,17,4,3957,1,20400,2021-02-19
625,18,1,2438,0,2400,2021-02-19
626,18,3,1428,2105,4650,2021-02-19
627,18,4,0,0,1200,2021-02-19
628,19,1,209871,0,463200,2021-02-19
629,19,3,467231,58863,631800,2021-02-19
630,19,4,32867,3892,70800,2021-02-19
631,20,1,15856,0,15856,2021-02-19
632,20,3,23846,5626,29472,2021-02-19
633,20,4,2921,5,2926,2021-02-19
634,21,1,964,0,0,2021-02-19
635,21,3,2554,2766,7020,2021-02-19
636,21,4,314,211,2400,2021-02-19
637,22,1,14870,0,0,2021-02-19
638,22,3,124,199,0,2021-02-19
639,22,4,1328,26,8400,2021-02-19
640,23,1,6082,4,NULL,2021-02-19
641,23,3,7336,6040,NULL,2021-02-19
642,23,4,122,3,NULL,2021-02-19
643,24,1,92337,0,148390,2021-02-19
644,24,3,98778,106842,200070,2021-02-19
645,24,4,17021,5517,72000,2021-02-19
646,24,6,118,25,0,2021-02-19
647,25,6,36970,61882,120900,2021-02-19
648,26,1,156849,18,0,2021-02-19
649,26,3,145488,249320,397800,2021-02-19
650,26,4,51407,4278,157200,2021-02-19
651,27,1,60275,8,0,2021-02-19
652,27,3,110062,18383,107640,2021-02-19
653,27,4,3505,317,42000,2021-02-19
654,28,1,68423,0,0,2021-02-19
655,28,3,43169,40190,201240,2021-02-19
656,28,4,210,0,79200,2021-02-19
657,29,1,36922,14,93600,2021-02-19
658,29,3,53811,48116,118170,2021-02-19
659,29,4,6827,2653,0,2021-02-19
660,30,1,7519,0,16800,2021-02-19
